id,title,description,type,style,location,bedrooms,bathrooms,price,view,furnishing
108,"Rustic 1-bedroom Cottage in Shoreditch","A rustic cottage located in Shoreditch, featuring 1 bedroom, 4 bathrooms, with a forest view, and is unfurnished. This property offers a great blend of style and comfort with modern amenities and an ideal location.",Cottage,Rustic,Shoreditch,1,4,2192775,Forest View,Unfurnished
109,"Mediterranean 3-bedroom House in Canary Wharf","A mediterranean house located in Canary Wharf, featuring 3 bedrooms, 3 bathrooms, with a park view, and is part-furnished. This property offers a great blend of style and comfort with modern amenities and an ideal location.",House,Mediterranean,Canary Wharf,3,3,1513835,Park View,Part-Furnished
110,"Industrial 1-bedroom Penthouse in Fulham","A industrial penthouse located in Fulham, featuring 1 bedroom, 3 bathrooms, with a mountain view, and is unfurnished. This property offers a great blend of style and comfort with modern amenities and an ideal location.",Penthouse,Industrial,Fulham,1,3,1516444,Mountain View,Unfurnished
111,"Contemporary 5-bedroom Bungalow in Chelsea","A contemporary bungalow located in Chelsea, featuring 5 bedrooms, 2 bathrooms, with a sea view, and is furnished. This property offers a great blend of style and comfort with modern amenities and an ideal location.",Bungalow,Contemporary,Chelsea,5,2,1144114,Sea View,Furnished
112,"Georgian 5-bedroom House in Chelsea","A georgian house located in Chelsea, featuring 5 bedrooms, 2 bathrooms, with a garden view, and is furnished. This property offers a great blend of style and comfort with modern amenities and an ideal location.",House,Georgian,Chelsea,5,2,1789498,Garden View,Furnished
113,"Victorian 6-bedroom House in Hackney","A victorian house located in Hackney, featuring 6 bedrooms, 3 bathrooms, with a lake view, and is unfurnished. This property offers a great blend of style and comfort with modern amenities and an ideal location.",House,Victorian,Hackney,6,3,1757331,Lake View,Unfurnished
114,"Victorian 3-bedroom Duplex in Chelsea","A victorian duplex located in Chelsea, featuring 3 bedrooms, 3 bathrooms, with a lake view, and is part-furnished. This property offers a great blend of style and comfort with modern amenities and an ideal location.",Duplex,Victorian,Chelsea,3,3,816663,Lake View,Part-Furnished
115,"Georgian 1-bedroom Duplex in Hackney","A georgian duplex located in Hackney, featuring 1 bedroom, 2 bathrooms, with a no view, and is part-furnished. This property offers a great blend of style and comfort with modern amenities and an ideal location.",Duplex,Georgian,Hackney,1,2,1729424,No View,Part-Furnished
116,"Georgian 3-bedroom Flat in Chelsea","A georgian flat located in Chelsea, featuring 3 bedrooms, 1 bathroom, with a city view, and is part-furnished. This property offers a great blend of style and comfort with modern amenities and an ideal location.",Flat,Georgian,Chelsea,3,1,1468029,City View,Part-Furnished
117,"Contemporary 5-bedroom Flat in Hammersmith","A contemporary flat located in Hammersmith, featuring 5 bedrooms, 2 bathrooms, with a mountain view, and is part-furnished. This property offers a great blend of style and comfort with modern amenities and an ideal location.",Flat,Contemporary,Hammersmith,5,2,1327705,Mountain View,Part-Furnished
118,"Art Deco 1-bedroom Mansion in Hackney","A art deco mansion located in Hackney, featuring 1 bedroom, 2 bathrooms, with a forest view, and is unfurnished. This property offers a great blend of style and comfort with modern amenities and an ideal location.",Mansion,Art Deco,Hackney,1,2,1472911,Forest View,Unfurnished
119,"Minimalist 5-bedroom Penthouse in Camden","A minimalist penthouse located in Camden, featuring 5 bedrooms, 4 bathrooms, with a city view, and is furnished. This property offers a great blend of style and comfort with modern amenities and an ideal location.",Penthouse,Minimalist,Camden,5,4,344328,City View,Furnished
120,"Industrial 1-bedroom Duplex in Mayfair","A industrial duplex located in Mayfair, featuring 1 bedroom, 3 bathrooms, with a lake view, and is part-furnished. This property offers a great blend of style and comfort with modern amenities and an ideal location.",Duplex,Industrial,Mayfair,1,3,349555,Lake View,Part-Furnished
121,"Georgian 1-bedroom Studio in Hackney","A georgian studio located in Hackney, featuring 1 bedroom, 4 bathrooms, with a sea view, and is unfurnished. This property offers a great blend of style and comfort with modern amenities and an ideal location.",Studio,Georgian,Hackney,1,4,303821,Sea View,Unfurnished
122,"Contemporary 5-bedroom Duplex in Battersea","A contemporary duplex located in Battersea, featuring 5 bedrooms, 1 bathroom, with a river view, and is unfurnished. This property offers a great blend of style and comfort with modern amenities and an ideal location.",Duplex,Contemporary,Battersea,5,1,1689227,River View,Unfurnished
123,"Colonial 5-bedroom Townhouse in Richmond","A colonial townhouse located in Richmond, featuring 5 bedrooms, 3 bathrooms, with a sea view, and is furnished. This property offers a great blend of style and comfort with modern amenities and an ideal location.",Townhouse,Colonial,Richmond,5,3,300293,Sea View,Furnished
124,"Modern 6-bedroom Bungalow in Wimbledon","A modern bungalow located in Wimbledon, featuring 6 bedrooms, 4 bathrooms, with a no view, and is furnished. This property offers a great blend of style and comfort with modern amenities and an ideal location.",Bungalow,Modern,Wimbledon,6,4,415017,No View,Furnished
125,"Scandinavian 3-bedroom House in Battersea","A scandinavian house located in Battersea, featuring 3 bedrooms, 1 bathroom, with a mountain view, and is furnished. This property offers a great blend of style and comfort with modern amenities and an ideal location.",House,Scandinavian,Battersea,3,1,1976708,Mountain View,Furnished
